SIZE INTERVAL       0
    WAVl        QEXT      W0      gf
       2.3400000   5.4945355e-05    0.0033003538   0.00027127069
       2.5700000   0.00019523233   0.00049262977   0.00022145138
       2.7900000    0.0089094652   4.0125972e-06   0.00017893077
       3.0800000     0.012924869   1.3621408e-05   0.00016753510
       3.4100000    0.0010120311   7.9667142e-05   0.00013528872
       3.7900000   0.00018073891   0.00022625595   0.00010688944
       4.0900000   0.00027529953   9.8804745e-05   9.0989440e-05
       4.3600000   0.00045434535   4.3468205e-05   7.9655502e-05
SIZE INTERVAL       5
    WAVl        QEXT      W0      gf
      0.25630000    0.0034706000      0.99999781     0.028495778
      0.27950000    0.0023232673      0.99999794     0.023861930
      0.29650000    0.0017777453      0.99999812     0.021155166
      0.31860000    0.0012901290      0.99999821     0.018278750
      0.33550000    0.0010271687      0.99999810     0.016459024
      0.36500000   0.00071157116      0.99999806     0.013877196
      0.42000000   0.00038955023      0.99999826     0.010451376
      0.49500000   0.00019437410      0.99999817    0.0075048979
      0.54480000   0.00013001614      0.99999270    0.0061877019
      0.55810000   0.00011754340      0.99999034    0.0058945397
      0.58580000   9.6020620e-05      0.99997821    0.0053471519
      0.61500000   7.8406042e-05      0.99993761    0.0048487326
      0.64590000   6.3943187e-05      0.99991173    0.0043935181
      0.67900000   5.1980232e-05      0.99985515    0.0039736118
      0.72100000   4.0584665e-05      0.99939444    0.0035222477
      0.76800000   3.1317084e-05      0.99854702    0.0031027384
      0.81300000   2.4785621e-05      0.99841721    0.0027675723
      0.86700000   1.9099772e-05      0.99505578    0.0024324227
      0.92600000   1.4788404e-05      0.98098159    0.0021313265
       1.0000000   1.1263273e-05      0.93957302    0.0018265354
       1.0500000   8.9682646e-06      0.96580450    0.0016561071
       1.1000000   7.5108703e-06      0.95240326    0.0015084003
       1.1700000   7.7307862e-06      0.71765701    0.0013325890
       1.2500000   6.2217755e-06      0.67857736    0.0011667370
       1.3700000   1.2224562e-05      0.23596795   0.00097027016
       1.5000000   3.6120797e-05     0.054776143   0.00080851508
       1.6300000   1.2701672e-05      0.10958565   0.00068371743
       1.7700000   1.5455234e-05     0.063097122   0.00057872050
       1.9400000   0.00022717366    0.0028706196   0.00048050297
       2.1100000   4.8303746e-05    0.0092168612   0.00040489110
       2.3400000   6.0372375e-05    0.0043576516   0.00032674337
       2.5700000   0.00021431632   0.00065105184   0.00026673752
       2.7900000    0.0097784503   5.3039296e-06   0.00021552343
       3.0800000     0.014186368   1.8005091e-05   0.00020179404
       3.4100000    0.0011108050   0.00010530541   0.00016295429
       3.7900000   0.00019838447   0.00029905921   0.00012874796
       4.0900000   0.00030216201   0.00013060394   0.00010959661
       4.3600000   0.00049866658   5.7459306e-05   9.5944975e-05
SIZE INTERVAL       6
    WAVl        QEXT      W0      gf
      0.25630000    0.0050268039      0.99999832     0.034284310
      0.27950000    0.0033655598      0.99999843     0.028713160
      0.29650000    0.0025755967      0.99999857     0.025458413
      0.31860000    0.0018693980      0.99999864     0.021999176
      0.33550000    0.0014885094      0.99999855     0.019810443
      0.36500000    0.0010313154      0.99999852     0.016704620
      0.42000000   0.00056471399      0.99999868     0.012582625
      0.49500000   0.00028183167      0.99999861    0.0090364886
      0.54480000   0.00018853370      0.99999446    0.0074509326
      0.55810000   0.00017045081      0.99999267    0.0070980176
      0.58580000   0.00013924565      0.99998348    0.0064390354
      0.61500000   0.00011370477      0.99995269    0.0058389762
      0.64590000   9.2733314e-05      0.99993308    0.0052909083
      0.67900000   7.5385531e-05      0.99989021    0.0047853299
      0.72100000   5.8854401e-05      0.99954104    0.0042418531
      0.76800000   4.5407114e-05      0.99889878    0.0037367112
      0.81300000   3.5936907e-05      0.99880056    0.0033331147
      0.86700000   2.7671118e-05      0.99625083    0.0029295254
      0.92600000   2.1352203e-05      0.98553113    0.0025669324
       1.0000000   1.6098542e-05      0.95356600    0.0021998795
       1.0500000   1.2901329e-05      0.97389405    0.0019946320
       1.1000000   1.0769429e-05      0.96354603    0.0018167453
       1.1700000   1.0445085e-05      0.77052935    0.0016050085
       1.2500000   8.3204727e-06      0.73609267    0.0014052628
       1.3700000   1.4439249e-05      0.28981164    0.0011686419
       1.5000000   4.0353474e-05     0.071129225   0.00097382359
       1.6300000   1.4435092e-05      0.13988779   0.00082351498
       1.7700000   1.7310172e-05     0.081728250   0.00069705335
       1.9400000   0.00024959921    0.0037903755   0.00057875586
       2.1100000   5.3178606e-05     0.012145662   0.00048768486
