COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.16954  2.96e-016  5.96e-018
0.16971  2.95e-016  5.96e-018
0.16987  2.80e-016  5.81e-018
0.17004  2.68e-016  5.67e-018
0.17021  2.49e-016  5.55e-018
0.17038  2.56e-016  5.53e-018
0.17054  2.40e-016  5.41e-018
0.17071  2.22e-016  5.26e-018
0.17088  2.43e-016  5.28e-018
0.17105  2.82e-016  5.51e-018
0.17121  3.07e-016  5.60e-018
0.17138  3.06e-016  5.62e-018
0.17155  3.14e-016  5.70e-018
0.17172  3.01e-016  5.54e-018
0.17189  2.86e-016  5.33e-018
0.17205  2.64e-016  5.21e-018
0.17222  2.66e-016  5.15e-018
0.17239  2.62e-016  5.10e-018
0.17256  2.63e-016  5.00e-018
0.17272  2.36e-016  4.80e-018
0.17289  2.15e-016  4.72e-018
0.17306  2.06e-016  4.74e-018
0.17323  2.13e-016  4.81e-018
0.17339  2.28e-016  4.74e-018
0.17356  2.31e-016  4.67e-018
0.17373  2.30e-016  4.66e-018
0.17390  2.36e-016  4.69e-018
0.17406  2.41e-016  4.65e-018
0.17423  2.38e-016  4.57e-018
0.17440  2.22e-016  4.58e-018
0.17457  2.23e-016  4.48e-018
0.17474  2.42e-016  4.58e-018
0.17490  2.61e-016  4.76e-018
0.17507  2.64e-016  4.64e-018
0.17524  2.66e-016  4.64e-018
0.17541  2.40e-016  4.60e-018
0.17557  2.28e-016  4.48e-018
0.17574  2.36e-016  4.51e-018
0.17591  2.39e-016  4.39e-018
0.17608  2.40e-016  4.35e-018
0.17624  2.43e-016  4.34e-018
0.17641  2.56e-016  4.30e-018
0.17658  2.68e-016  4.33e-018
0.17675  2.62e-016  4.30e-018
0.17692  2.54e-016  4.19e-018
0.17708  2.59e-016  4.19e-018
0.17725  2.65e-016  4.26e-018
0.17742  2.71e-016  4.26e-018
0.17758  2.67e-016  4.21e-018
0.17775  2.66e-016  4.13e-018
0.17792  2.73e-016  4.25e-018
0.17809  2.62e-016  4.16e-018
0.17826  2.65e-016  4.10e-018
0.17842  2.90e-016  4.18e-018
0.17859  2.92e-016  4.21e-018
0.17876  2.83e-016  4.17e-018
0.17893  2.77e-016  4.48e-018
0.17909  2.63e-016  5.07e-018
0.17926  2.64e-016  5.40e-018
0.17943  2.63e-016  4.69e-018
0.17960  2.64e-016  4.25e-018
0.17977  2.59e-016  3.96e-018
0.17993  2.88e-016  3.94e-018
0.18010  3.27e-016  4.09e-018
0.18027  4.29e-016  4.43e-018
0.18043  6.83e-016  5.11e-018
0.18060  1.10e-015  6.07e-018
0.18077  1.38e-015  6.56e-018
0.18094  1.26e-015  6.26e-018
0.18111  1.02e-015  5.80e-018
0.18127  1.09e-015  6.00e-018
0.18144  1.58e-015  7.24e-018
0.18161  2.15e-015  9.09e-018
0.18178  2.02e-015  8.32e-018
0.18194  1.42e-015  6.75e-018
0.18211  8.72e-016  5.30e-018
0.18228  5.37e-016  4.55e-018
