COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
1.55250  2.77e-013  1.39e-014
1.55750  2.75e-013  1.38e-014
1.56250  2.77e-013  1.39e-014
1.56750  2.70e-013  1.35e-014
1.57250  2.72e-013  1.36e-014
1.57750  2.59e-013  1.29e-014
1.58250  2.64e-013  1.32e-014
1.58750  2.56e-013  1.28e-014
1.59250  2.60e-013  1.30e-014
1.59750  2.61e-013  1.31e-014
1.60500  2.58e-013  1.29e-014
1.61500  2.54e-013  1.27e-014
1.62500  2.52e-013  1.26e-014
1.63500  2.47e-013  1.23e-014
1.64500  2.41e-013  1.21e-014
1.65500  2.40e-013  1.20e-014
1.66500  2.35e-013  1.18e-014
1.67500  2.28e-013  1.14e-014
1.68500  2.23e-013  1.11e-014
1.69500  2.23e-013  1.11e-014
1.70500  2.15e-013  1.08e-014
1.71500  2.12e-013  1.06e-014
1.72500  2.06e-013  1.03e-014
1.73500  2.00e-013  1.00e-014
1.74500  1.99e-013  9.93e-015
1.75500  1.96e-013  9.79e-015
1.76500  1.92e-013  9.61e-015
1.77500  1.88e-013  9.40e-015
1.78500  1.85e-013  9.27e-015
1.79500  1.82e-013  9.08e-015
1.80500  1.78e-013  8.88e-015
1.81500  1.72e-013  8.61e-015
1.82500  1.70e-013  8.50e-015
1.83500  1.67e-013  8.36e-015
1.84500  1.63e-013  8.13e-015
1.85500  1.61e-013  8.06e-015
1.86500  1.56e-013  7.81e-015
1.87500  1.49e-013  7.46e-015
1.88500  1.52e-013  7.58e-015
1.89500  1.46e-013  7.28e-015
1.90500  1.47e-013  7.33e-015
1.91500  1.44e-013  7.18e-015
1.92500  1.41e-013  7.06e-015
1.93500  1.37e-013  6.85e-015
1.94500  1.32e-013  6.61e-015
1.95500  1.33e-013  6.66e-015
1.96500  1.31e-013  6.53e-015
1.97500  1.27e-013  6.37e-015
1.98500  1.26e-013  6.29e-015
1.99500  1.24e-013  6.19e-015
2.00500  1.23e-013  6.14e-015
2.01500  1.21e-013  6.05e-015
2.02500  1.18e-013  5.88e-015
2.03500  1.15e-013  5.76e-015
2.04500  1.15e-013  5.73e-015
2.05500  1.12e-013  5.62e-015
2.06500  1.10e-013  5.49e-015
2.07500  1.08e-013  5.41e-015
2.08500  1.06e-013  5.32e-015
2.09500  1.04e-013  5.19e-015
2.10500  1.03e-013  5.15e-015
2.11500  1.01e-013  5.06e-015
2.12500  9.94e-014  4.97e-015
2.13500  9.80e-014  4.90e-015
2.14500  9.64e-014  4.82e-015
2.15500  9.48e-014  4.74e-015
2.16500  9.12e-014  4.56e-015
2.17500  9.10e-014  4.55e-015
2.18500  8.97e-014  4.49e-015
2.19500  8.87e-014  4.43e-015
2.20500  8.63e-014  4.31e-015
2.21500  8.59e-014  4.29e-015
2.22500  8.40e-014  4.20e-015
2.23500  8.27e-014  4.14e-015
2.24500  8.14e-014  4.07e-015
2.25500  8.03e-014  4.01e-015
2.26500  7.86e-014  3.93e-015
2.27500  7.79e-014  3.89e-015
2.28500  7.61e-014  3.80e-015
2.29500  7.26e-014  3.63e-015
2.30500  7.30e-014  3.65e-015
2.31500  7.20e-014  3.60e-015
2.32500  6.80e-014  3.40e-015
2.33500  6.85e-014  3.43e-015
2.34500  6.85e-014  3.43e-015
2.35500  6.43e-014  3.21e-015
2.36500  6.56e-014  3.28e-015
2.37500  6.50e-014  3.25e-015
2.38500  6.13e-014  3.07e-015
2.39500  6.23e-014  3.12e-015
2.40500  6.19e-014  3.10e-015
2.41500  5.90e-014  2.95e-015
2.42500  5.93e-014  2.97e-015
2.43500  5.88e-014  2.94e-015
2.44500  5.71e-014  2.85e-015
2.45500  5.60e-014  2.80e-015
2.46500  5.65e-014  2.82e-015
2.47500  5.50e-014  2.75e-015
2.48500  5.34e-014  2.67e-015
2.49500  5.37e-014  2.69e-015
2.50500  5.35e-014  2.67e-015
2.51500  5.16e-014  2.58e-015
2.52500  5.18e-014  2.59e-015
2.53500  5.11e-014  2.55e-015
2.54500  5.00e-014  2.50e-015
2.55500  4.93e-014  2.47e-015
2.56500  4.88e-014  2.44e-015
2.57500  4.85e-014  2.43e-015
2.58500  4.69e-014  2.34e-015
2.59500  4.69e-014  2.34e-015
2.60500  4.65e-014  2.32e-015
2.61500  4.57e-014  2.29e-015
2.62500  4.42e-014  2.21e-015
2.63500  4.44e-014  2.22e-015
2.64500  4.37e-014  2.19e-015
2.65500  4.32e-014  2.16e-015
2.66500  4.22e-014  2.11e-015
2.67500  4.23e-014  2.12e-015
2.68500  4.18e-014  2.09e-015
2.69500  4.11e-014  2.06e-015
2.70500  4.07e-014  2.04e-015
2.71500  4.01e-014  2.01e-015
2.72500  3.96e-014  1.98e-015
2.73500  3.91e-014  1.96e-015
2.74500  3.87e-014  1.93e-015
2.75500  3.81e-014  1.90e-015
2.76500  3.75e-014  1.88e-015
2.77500  3.70e-014  1.85e-015
2.78500  3.66e-014  1.83e-015
2.79500  3.62e-014  1.81e-015
2.80500  3.57e-014  1.79e-015
2.81500  3.53e-014  1.76e-015
2.82500  3.48e-014  1.74e-015
2.83500  3.44e-014  1.72e-015
2.84500  3.39e-014  1.69e-015
2.85500  3.35e-014  1.67e-015
2.86500  3.30e-014  1.65e-015
2.87500  3.26e-014  1.63e-015
2.88500  3.22e-014  1.61e-015
2.89500  3.18e-014  1.59e-015
2.90500  3.14e-014  1.57e-015
2.91500  3.10e-014  1.55e-015
2.92500  3.05e-014  1.52e-015
2.93500  3.02e-014  1.51e-015
2.94500  2.98e-014  1.49e-015
2.95500  2.95e-014  1.47e-015
2.96500  2.91e-014  1.46e-015
2.97500  2.88e-014  1.44e-015
2.98500  2.84e-014  1.42e-015
2.99500  2.80e-014  1.40e-015
3.00500  2.77e-014  1.38e-015
3.01500  2.74e-014  1.37e-015
3.02500  2.70e-014  1.35e-015
3.03500  2.65e-014  1.33e-015
3.04500  2.63e-014  1.32e-015
3.05500  2.60e-014  1.30e-015
3.06500  2.57e-014  1.28e-015
3.07500  2.54e-014  1.27e-015
3.08500  2.50e-014  1.25e-015
3.09500  2.48e-014  1.24e-015
3.10500  2.45e-014  1.23e-015
3.11500  2.40e-014  1.20e-015
3.12500  2.39e-014  1.20e-015
3.13500  2.37e-014  1.18e-015
3.14500  2.34e-014  1.17e-015
3.15500  2.30e-014  1.15e-015
3.16500  2.28e-014  1.14e-015
3.17500  2.25e-014  1.13e-015
3.18500  2.23e-014  1.11e-015
3.19500  2.20e-014  1.10e-015
3.21000  2.16e-014  1.08e-015
3.23000  2.11e-014  1.06e-015
3.25000  2.06e-014  1.03e-015
3.27000  2.01e-014  1.01e-015
3.29000  1.96e-014  9.80e-016
3.31000  1.92e-014  9.60e-016
3.33000  1.87e-014  9.36e-016
3.35000  1.84e-014  9.18e-016
3.37000  1.79e-014  8.97e-016
3.39000  1.75e-014  8.75e-016
3.41000  1.71e-014  8.55e-016
3.43000  1.68e-014  8.39e-016
3.45000  1.64e-014  8.22e-016
3.47000  1.61e-014  8.03e-016
3.49000  1.57e-014  7.86e-016
3.51000  1.54e-014  7.70e-016
3.53000  1.50e-014  7.52e-016
3.55000  1.47e-014  7.37e-016
3.57000  1.44e-014  7.20e-016
3.59000  1.41e-014  7.05e-016
3.61000  1.38e-014  6.92e-016
3.63000  1.35e-014  6.77e-016
3.65000  1.32e-014  6.61e-016
3.67000  1.29e-014  6.47e-016
3.69000  1.26e-014  6.31e-016
3.71000  1.23e-014  6.17e-016
3.73000  1.22e-014  6.08e-016
3.75000  1.18e-014  5.91e-016
3.77000  1.17e-014  5.83e-016
3.79000  1.14e-014  5.71e-016
3.81000  1.12e-014  5.61e-016
3.83000  1.10e-014  5.51e-016
3.85000  1.08e-014  5.40e-016
3.87000  1.06e-014  5.28e-016
3.89000  1.04e-014  5.19e-016
3.91000  1.02e-014  5.09e-016
3.93000  9.99e-015  4.99e-016
3.95000  9.76e-015  4.88e-016
3.97000  9.59e-015  4.80e-016
3.99000  9.36e-015  4.68e-016
4.01000  9.21e-015  4.61e-016
4.03000  9.06e-015  4.53e-016
4.05000  8.84e-015  4.42e-016
4.07000  8.71e-015  4.36e-016
4.09000  8.56e-015  4.28e-016
4.11000  8.41e-015  4.20e-016
4.13000  8.26e-015  4.13e-016
4.15000  8.09e-015  4.05e-016
4.17000  7.95e-015  3.97e-016
4.19000  7.79e-015  3.89e-016
4.21000  7.62e-015  3.81e-016
4.23000  7.54e-015  3.77e-016
4.25000  7.38e-015  3.69e-016
4.27000  7.27e-015  3.63e-016
4.29000  6.93e-015  3.46e-016
4.31000  6.66e-015  3.33e-016
4.33000  6.63e-015  3.32e-016
4.35000  6.31e-015  3.16e-016
4.37000  6.16e-015  3.08e-016
4.39000  6.08e-015  3.04e-016
4.41000  5.78e-015  2.89e-016
4.43000  5.73e-015  2.87e-016
4.45000  5.65e-015  2.83e-016
4.47000  5.40e-015  2.70e-016
4.49000  5.42e-015  2.71e-016
4.51000  5.29e-015  2.64e-016
4.53000  5.10e-015  2.55e-016
4.55000  5.10e-015  2.55e-016
4.57000  5.06e-015  2.53e-016
4.59000  4.86e-015  2.43e-016
4.61000  4.87e-015  2.43e-016
4.63000  4.78e-015  2.39e-016
4.65000  4.73e-015  2.36e-016
4.67000  4.68e-015  2.34e-016
4.69000  4.61e-015  2.31e-016
4.71000  4.53e-015  2.26e-016
4.73000  4.52e-015  2.26e-016
4.75000  4.42e-015  2.21e-016
4.77000  4.35e-015  2.18e-016
4.79000  4.30e-015  2.15e-016
4.81000  4.20e-015  2.10e-016
4.83000  4.21e-015  2.10e-016
4.85000  4.13e-015  2.06e-016
4.87000  4.04e-015  2.02e-016
4.89000  3.99e-015  2.00e-016
4.91000  3.94e-015  1.97e-016
4.93000  3.87e-015  1.94e-016
4.95000  3.81e-015  1.90e-016
4.97000  3.76e-015  1.88e-016
4.99000  3.70e-015  1.85e-016
5.01000  3.67e-015  1.83e-016
5.03000  3.62e-015  1.81e-016
5.05000  3.53e-015  1.77e-016
5.07000  3.50e-015  1.75e-016
5.09000  3.46e-015  1.73e-016
5.11000  3.39e-015  1.69e-016
5.13000  3.36e-015  1.68e-016
5.15000  3.30e-015  1.65e-016
5.17000  3.28e-015  1.64e-016
5.19000  3.22e-015  1.61e-016
5.21000  3.18e-015  1.59e-016
5.23000  3.12e-015  1.56e-016
5.25000  3.10e-015  1.55e-016
5.27000  3.07e-015  1.53e-016
5.29000  3.00e-015  1.50e-016
5.31000  2.97e-015  1.48e-016
5.33000  2.93e-015  1.46e-016
5.35000  2.90e-015  1.45e-016
5.37000  2.86e-015  1.43e-016
5.39000  2.82e-015  1.41e-016
5.41000  2.78e-015  1.39e-016
5.43000  2.73e-015  1.36e-016
5.45000  2.71e-015  1.36e-016
5.47000  2.67e-015  1.34e-016
5.49000  2.64e-015  1.32e-016
5.51000  2.61e-015  1.30e-016
5.53000  2.59e-015  1.30e-016
5.55000  2.53e-015  1.27e-016
5.57000  2.52e-015  1.26e-016
5.59000  2.47e-015  1.24e-016
5.61000  2.45e-015  1.22e-016
5.63000  2.41e-015  1.20e-016
5.65000  2.39e-015  1.20e-016
5.67000  2.36e-015  1.18e-016
5.69000  2.32e-015  1.16e-016
5.71000  2.30e-015  1.15e-016
5.73000  2.27e-015  1.14e-016
5.75000  2.24e-015  1.12e-016
5.77000  2.21e-015  1.11e-016
5.79000  2.19e-015  1.10e-016
5.81000  2.16e-015  1.08e-016
5.83000  2.13e-015  1.07e-016
5.85000  2.11e-015  1.05e-016
5.87000  2.07e-015  1.04e-016
5.89000  2.05e-015  1.02e-016
5.91000  2.03e-015  1.01e-016
5.93000  2.00e-015  1.00e-016
5.95000  1.97e-015  9.87e-017
5.97000  1.96e-015  9.78e-017
5.99000  1.93e-015  9.66e-017
6.01000  1.91e-015  9.54e-017
6.03000  1.88e-015  9.42e-017
6.05000  1.86e-015  9.29e-017
6.07000  1.84e-015  9.18e-017
6.09000  1.81e-015  9.06e-017
6.11000  1.79e-015  8.94e-017
6.13000  1.77e-015  8.85e-017
6.15000  1.75e-015  8.75e-017
6.17000  1.73e-015  8.65e-017
6.19000  1.71e-015  8.55e-017
6.21000  1.69e-015  8.45e-017
6.23000  1.66e-015  8.32e-017
6.25000  1.64e-015  8.22e-017
6.27000  1.62e-015  8.12e-017
6.29000  1.61e-015  8.04e-017
6.31000  1.59e-015  7.93e-017
6.33000  1.57e-015  7.86e-017
6.35000  1.55e-015  7.75e-017
6.37000  1.53e-015  7.67e-017
6.39000  1.51e-015  7.57e-017
6.42000  1.49e-015  7.44e-017
6.46000  1.45e-015  7.26e-017
6.50000  1.42e-015  7.09e-017
6.54000  1.39e-015  6.93e-017
6.58000  1.36e-015  6.78e-017
6.62000  1.32e-015  6.62e-017
6.66000  1.29e-015  6.47e-017
6.70000  1.26e-015  6.32e-017
6.74000  1.23e-015  6.17e-017
6.78000  1.21e-015  6.03e-017
6.82000  1.18e-015  5.90e-017
6.86000  1.15e-015  5.77e-017
6.90000  1.13e-015  5.64e-017
6.94000  1.10e-015  5.51e-017
6.98000  1.08e-015  5.39e-017
7.02000  1.05e-015  5.27e-017
7.06000  1.03e-015  5.15e-017
7.10000  1.01e-015  5.04e-017
7.14000  9.87e-016  4.93e-017
7.18000  9.65e-016  4.83e-017
7.22000  9.45e-016  4.72e-017
7.26000  9.24e-016  4.62e-017
7.30000  9.05e-016  4.52e-017
7.34000  8.85e-016  4.43e-017
7.38000  8.67e-016  4.34e-017
7.42000  8.48e-016  4.24e-017
7.46000  8.30e-016  4.15e-017
7.50000  8.14e-016  4.07e-017
7.54000  7.97e-016  3.98e-017
7.58000  7.81e-016  3.91e-017
7.62000  7.65e-016  3.83e-017
7.66000  7.50e-016  3.75e-017
7.70000  7.34e-016  3.67e-017
7.74000  7.20e-016  3.60e-017
7.78000  7.05e-016  3.53e-017
7.82000  6.91e-016  3.46e-017
7.86000  6.78e-016  3.39e-017
7.90000  6.64e-016  3.32e-017
7.94000  6.51e-016  3.26e-017
7.98000  6.39e-016  3.19e-017
8.02000  6.26e-016  3.13e-017
8.06000  6.14e-016  3.07e-017
8.10000  6.02e-016  3.01e-017
8.14000  5.90e-016  2.95e-017
8.18000  5.79e-016  2.90e-017
8.22000  5.69e-016  2.84e-017
8.26000  5.58e-016  2.79e-017
8.30000  5.47e-016  2.74e-017
8.34000  5.37e-016  2.68e-017
8.38000  5.27e-016  2.63e-017
8.42000  5.17e-016  2.59e-017
8.46000  5.08e-016  2.54e-017
8.50000  4.98e-016  2.49e-017
8.54000  4.89e-016  2.45e-017
8.58000  4.80e-016  2.40e-017
8.62000  4.72e-016  2.36e-017
8.66000  4.63e-016  2.32e-017
8.70000  4.55e-016  2.27e-017
8.74000  4.47e-016  2.23e-017
8.78000  4.39e-016  2.19e-017
8.82000  4.31e-016  2.15e-017
8.86000  4.23e-016  2.12e-017
8.90000  4.16e-016  2.08e-017
8.94000  4.09e-016  2.04e-017
8.98000  4.01e-016  2.01e-017
9.02000  3.95e-016  1.97e-017
9.06000  3.88e-016  1.94e-017
9.10000  3.81e-016  1.90e-017
9.14000  3.75e-016  1.87e-017
9.18000  3.68e-016  1.84e-017
9.22000  3.62e-016  1.81e-017
9.26000  3.56e-016  1.78e-017
9.30000  3.50e-016  1.75e-017
9.34000  3.44e-016  1.72e-017
9.38000  3.38e-016  1.69e-017
9.42000  3.33e-016  1.66e-017
9.46000  3.27e-016  1.64e-017
9.50000  3.22e-016  1.61e-017
9.54000  3.17e-016  1.58e-017
9.58000  3.11e-016  1.56e-017
9.62000  3.06e-016  1.53e-017
9.66000  3.01e-016  1.51e-017
9.70000  2.97e-016  1.48e-017
9.74000  2.92e-016  1.46e-017
9.78000  2.87e-016  1.43e-017
9.82000  2.82e-016  1.41e-017
9.86000  2.78e-016  1.39e-017
9.90000  2.74e-016  1.37e-017
9.94000  2.69e-016  1.35e-017
9.98000  2.65e-016  1.33e-017
10.0000  2.61e-016  1.30e-017
20.0000  1.69e-017  8.46e-019
40.0000  1.06e-018  5.32e-020
60.0000  2.09e-019  1.05e-020
80.0000  6.59e-020  3.30e-021
100.000  2.69e-020  1.34e-021
120.000  1.29e-020  6.45e-022
140.000  6.92e-021  3.46e-022
160.000  4.04e-021  2.02e-022
